400	1000	1.03421	234.082	483.462	234.082	483.462	0.935	0.0139315	1481311605
8000	-nan	-nan	8.7491	-nan	-nan	-nan	0.27	0.192299	1481311605
8100	-nan	-nan	8.7491	-nan	-nan	-nan	0.4	0.225	1481311605
8200	-nan	-nan	8.7491	-nan	-nan	-nan	0.4	0.225	1481311605
8300	-nan	-nan	8.7491	-nan	-nan	-nan	0.44	0.226798	1481311605
8400	-nan	-nan	8.7491	-nan	-nan	-nan	0.41	0.225815	1481311605
8500	-nan	-nan	8.7491	-nan	-nan	-nan	0.58	0.20296	1481311605
8600	-nan	-nan	8.7491	-nan	-nan	-nan	0.61	0.192083	1481311605
8700	-nan	-nan	8.7491	-nan	-nan	-nan	0.62	0.188045	1481311605
8800	-nan	-nan	8.7491	-nan	-nan	-nan	0.69	0.154557	1481311605
8900	-nan	-nan	8.7491	-nan	-nan	-nan	0.55	0.211891	1481311605
9000	-nan	-nan	8.7491	-nan	-nan	-nan	0.58	0.20296	1481311605
9100	-nan	-nan	8.7491	-nan	-nan	-nan	0.56	0.209136	1481311605
9200	-nan	-nan	8.7491	-nan	-nan	-nan	0.62	0.188045	1481311605
9300	-nan	-nan	8.7491	-nan	-nan	-nan	0.59	0.199545	1481311605
9400	-nan	-nan	8.7491	-nan	-nan	-nan	0.48	0.224709	1481311605
9500	-nan	-nan	8.7491	-nan	-nan	-nan	0.62	0.188045	1481311605
9600	-nan	-nan	8.7491	-nan	-nan	-nan	0.64	0.179377	1481311605
9700	-nan	-nan	8.7491	-nan	-nan	-nan	0.49	0.223585	1481311605
9800	-nan	-nan	8.7491	-nan	-nan	-nan	0.59	0.199545	1481311605
9900	-nan	-nan	8.7491	-nan	-nan	-nan	0.57	0.206158	1481311605
10000	-nan	-nan	8.7491	-nan	-nan	-nan	0.39	0.22394	1481311605
10100	-nan	-nan	8.7491	-nan	-nan	-nan	0.6	0.195918	1481311605
10200	-nan	-nan	8.7491	-nan	-nan	-nan	0.55	0.211891	1481311605
10300	-nan	-nan	8.7491	-nan	-nan	-nan	0.63	0.183807	1481311605
10400	-nan	-nan	8.7491	-nan	-nan	-nan	0.7	0.149112	1481311605
10500	-nan	-nan	8.7491	-nan	-nan	-nan	0.62	0.188045	1481311605
10600	-nan	-nan	8.7491	-nan	-nan	-nan	0.59	0.199545	1481311605
10700	-nan	-nan	8.7491	-nan	-nan	-nan	0.51	0.220622	1481311605
10800	-nan	-nan	8.7491	-nan	-nan	-nan	0.58	0.20296	1481311605
10900	-nan	-nan	8.7491	-nan	-nan	-nan	0.62	0.188045	1481311605
11000	-nan	-nan	8.7491	-nan	-nan	-nan	0.56	0.209136	1481311605
11100	-nan	-nan	8.7491	-nan	-nan	-nan	0.53	0.216719	1481311605
11200	-nan	-nan	8.7491	-nan	-nan	-nan	0.56	0.209136	1481311605
11300	-nan	-nan	8.7491	-nan	-nan	-nan	0.66	0.169962	1481311605
11400	-nan	-nan	8.7491	-nan	-nan	-nan	0.54	0.214419	1481311605
11500	-nan	-nan	8.7491	-nan	-nan	-nan	0.58	0.20296	1481311605
11600	-nan	-nan	8.7491	-nan	-nan	-nan	0.58	0.20296	1481311605
11700	-nan	-nan	8.7491	-nan	-nan	-nan	0.6	0.195918	1481311605
11800	-nan	-nan	8.7491	-nan	-nan	-nan	0.59	0.199545	1481311605
11900	-nan	-nan	8.7491	-nan	-nan	-nan	0.52	0.218787	1481311605
12000	-nan	-nan	8.7491	-nan	-nan	-nan	0.64	0.179377	1481311605
12100	-nan	-nan	8.7491	-nan	-nan	-nan	0.51	0.220622	1481311605
12200	-nan	-nan	8.7491	-nan	-nan	-nan	0.61	0.192083	1481311605
12300	-nan	-nan	8.7491	-nan	-nan	-nan	0.55	0.211891	1481311605
12400	-nan	-nan	8.7491	-nan	-nan	-nan	0.57	0.206158	1481311605
12500	-nan	-nan	8.7491	-nan	-nan	-nan	0.6	0.195918	1481311605
12600	-nan	-nan	8.7491	-nan	-nan	-nan	0.53	0.216719	1481311605
12700	-nan	-nan	8.7491	-nan	-nan	-nan	0.66	0.169962	1481311605
12800	-nan	-nan	8.7491	-nan	-nan	-nan	0.61	0.192083	1481311605
12900	-nan	-nan	8.7491	-nan	-nan	-nan	0.54	0.214419	1481311605
13000	-nan	-nan	8.7491	-nan	-nan	-nan	0.56	0.209136	1481311605
13100	-nan	-nan	8.7491	-nan	-nan	-nan	0.6	0.195918	1481311605
13200	-nan	-nan	8.7491	-nan	-nan	-nan	0.5	0.222222	1481311605
13300	-nan	-nan	8.7491	-nan	-nan	-nan	0.59	0.199545	1481311605
13400	-nan	-nan	8.7491	-nan	-nan	-nan	0.7	0.149112	1481311605
13500	-nan	-nan	8.7491	-nan	-nan	-nan	0.58	0.20296	1481311605
13600	-nan	-nan	8.7491	-nan	-nan	-nan	0.68	0.159853	1481311605
13700	-nan	-nan	8.7491	-nan	-nan	-nan	0.49	0.223585	1481311605
13800	-nan	-nan	8.7491	-nan	-nan	-nan	0.52	0.218787	1481311605
13900	-nan	-nan	8.7491	-nan	-nan	-nan	0.57	0.206158	1481311605
14000	-nan	-nan	8.7491	-nan	-nan	-nan	0.48	0.224709	1481311605
14100	-nan	-nan	8.7491	-nan	-nan	-nan	0.51	0.220622	1481311605
14200	-nan	-nan	8.7491	-nan	-nan	-nan	0.61	0.192083	1481311605
14300	-nan	-nan	8.7491	-nan	-nan	-nan	0.59	0.199545	1481311605
14400	-nan	-nan	8.7491	-nan	-nan	-nan	0.55	0.211891	1481311605
14500	-nan	-nan	8.7491	-nan	-nan	-nan	0.59	0.199545	1481311605
14600	-nan	-nan	8.7491	-nan	-nan	-nan	0.62	0.188045	1481311605
14700	-nan	-nan	8.7491	-nan	-nan	-nan	0.62	0.188045	1481311605
14800	-nan	-nan	8.7491	-nan	-nan	-nan	0.61	0.192083	1481311605
14900	-nan	-nan	8.7491	-nan	-nan	-nan	0.54	0.214419	1481311605
15000	-nan	-nan	8.7491	-nan	-nan	-nan	0.58	0.20296	1481311605
15100	-nan	-nan	8.7491	-nan	-nan	-nan	0.63	0.183807	1481311605
15200	-nan	-nan	8.7491	-nan	-nan	-nan	0.6	0.195918	1481311605
15300	-nan	-nan	8.7491	-nan	-nan	-nan	0.5	0.222222	1481311605
15400	-nan	-nan	8.7491	-nan	-nan	-nan	0.46	0.226237	1481311605
15500	-nan	-nan	8.7491	-nan	-nan	-nan	0.56	0.209136	1481311605
15600	-nan	-nan	8.7491	-nan	-nan	-nan	0.54	0.214419	1481311605
15700	-nan	-nan	8.7491	-nan	-nan	-nan	0.69	0.154557	1481311605
15800	-nan	-nan	8.7491	-nan	-nan	-nan	0.68	0.159853	1481311605
15900	-nan	-nan	8.7491	-nan	-nan	-nan	0.63	0.183807	1481311605
16000	-nan	-nan	8.7491	-nan	-nan	-nan	0.6	0.195918	1481311605
16100	-nan	-nan	8.7491	-nan	-nan	-nan	0.52	0.218787	1481311605
